Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Arousal;Dominance;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Valence
CURRANT;currant;2169;818;7.682021511;['currant_NN', 'currant_JJ'];Source;Source;1.406857305;8.383019072;14240.50768;0.919928826;0.985053381;3.74;550;;;0.428571429;3.071428571;1.642857143;0.428571429;2.5;2.857142857;Gustatory;
DARK;dark;3765;133089;8.23350314;['dark_JJ', 'dark_NN'];Abstract;Abstract;-5.14359766;7.58739926;7605.549525;0.533807829;0.97544484;4.29;608.6;4.09;4.61;0.263157895;0.078947368;0.105263158;0.710526316;0.131578947;4.684210526;Visual;5.08
DARK;darkness;49;26795;3.891820298;['darkness_NN'];Abstract;Abstract;-9.094966351;13.85112357;-36.71420127;0.217437722;0.166192171;3.85;591.2;4.08;4.82;0.294117647;0.117647059;0.411764706;1.058823529;0.117647059;4.764705882;Visual;4.71
DARK__#__CHOCOLATE;bitter__#__chocolate;306;33;5.723585102;['bitter__#__chocolate_COLL'];Source;Source;3.212993723;11.20844557;1464.677198;0.956227758;0.901067616;;;;;;;;;;;;
DARK__#__CHOCOLATE;dark__#__chocolate;726;806;6.587550015;['dark__#__chocolate_COLL'];Source;Source;-0.150810291;9.962007672;2684.708621;0.853024911;0.933451957;;;;;;;;;;;;
DEEP;deep;1311;117567;7.178545484;['deep_JJ', 'deep_NN'];Abstract;Abstract;-6.48667167;9.10938144;1424.251959;0.409964413;0.899288256;3.38;460;3.9;4.94;1.470588235;0.529411765;1.941176471;1.176470588;0.411764706;3.705882353;Visual;5.44
DEEP;depth;1029;33514;6.936342736;['depth_NN'];Abstract;Abstract;-5.025449;9.458806143;2166.015713;0.54519573;0.923487544;3.11;399;4.35;5.24;0.941176471;0.647058824;2.647058824;1.352941176;0.588235294;4;Visual;5.8
DELICATE;delicate;1261;12330;7.139660336;['delicate_JJ'];Positive;Evaluative;-3.289532619;9.16548085;4173.120894;0.683985765;0.95658363;2.3;;3.09;5.04;0.842105263;0.526315789;3.526315789;1.263157895;0.263157895;3.157894737;Haptic;6.38
DELICIOUS;delicacy;45;2092;3.80666249;['delicacy_NN'];Positive;Evaluative;-5.53881404;13.97398031;82.0173805;0.497508897;0.561565836;2.81;;5;5.52;0.923076923;3.884615385;1.884615385;1.884615385;3;3.192307692;Gustatory;7
DELICIOUS;delicious;1404;14896;7.247080585;['delicious_JJ', 'delicious_NN'];Positive;Evaluative;-3.407310137;9.01050619;4530.830177;0.677224199;0.959430605;2.43;385.3;4.92;5.8;0.611111111;4.5;0.611111111;2.333333333;3.277777778;2.722222222;Gustatory;7.38
DENSE;dense;1581;10349;7.365812837;['dense_JJ'];Strong;Evaluative;-2.710582097;8.839211758;5865.698295;0.722775801;0.969039146;3.14;372.7;3.59;5.08;0.9375;0.625;2.125;0.375;0.1875;3.125;Visual;4.68
DRY;dryish;31;10;3.433987204;['dryish_JJ', 'dryish_NN'];Abstract;Abstract;1.632268215;14.5116371;194.7543168;0.927402135;0.69252669;;;;;;;;;;;;
DRY;dry;6136;47352;8.721928343;['dry_JJ', 'dry_NN'];Composition;Abstract;-2.948054974;6.882750643;21733.60221;0.706761566;0.991814947;3.77;;3.8;6.21;0.7;1.8;3.9;1.4;0.45;3.25;Haptic;4.86
DRY;dryness;249;796;5.517452896;['dryness_NN'];Composition;Abstract;-1.676622688;11.50583148;1109.951541;0.783274021;0.885765125;2.72;;;;0.647058824;1.235294118;3.705882353;1.647058824;0.294117647;2.588235294;Haptic;
DUSTY;dustiness;24;9;3.17805383;['dustiness_NN', 'dustiness_JJ'];Composition;Abstract;1.415037499;14.88087091;170.6924242;0.920284698;0.67544484;3.18;;;;0.65;0.35;2.4;0.4;1.15;4.2;Visual;
DUSTY;dusty;1182;8288;7.074963198;['dusty_JJ', 'dusty_NN'];Composition;Abstract;-2.809793968;9.25881909;4291.262597;0.716370107;0.957651246;3.79;554.6;4.1;4.7;0.052631579;0;2.526315789;0.315789474;0.842105263;4.052631579;Visual;3.95
DUSTY;dust;148;31596;4.997212274;['dust_NN'];Source;Source;-7.738000941;12.25638004;33.10356733;0.313523132;0.427402135;4.4;426.45;3.45;4.56;0.5;0.1875;2.6875;0.25;1.25;4.0625;Visual;3.72
EARTHY;earth;1675;135508;7.423568444;['earth_NN', 'earth_JJ'];Source;Source;-6.338073121;8.75588803;1992.620745;0.42455516;0.919928826;4.8;666.7;5.04;5.69;1.333333333;0.666666667;2.833333333;0.777777778;2.277777778;4.333333333;Visual;6.83
EARTHY;earthier;116;41;4.753590191;['earthier_JJ', 'earthier_NN'];Source;Source;1.500428991;12.60785241;781.6652888;0.923487544;0.856939502;;;;;;;;;;;;
EARTHY;earthiness;111;138;4.709530201;['earthiness_NN'];Source;Source;-0.31410859;12.67141754;584.9529146;0.84911032;0.825622776;2.17;;;;0.65;1.55;2.6;1.25;2.55;2.9;Visual;
EARTHY;earthy;2534;1664;7.837554361;['earthy_JJ', 'earthy_NN'];Source;Source;0.606761091;8.158632601;15204.25165;0.889679715;0.987544484;2.15;;3.29;6.56;0.866666667;1.933333333;3.2;1.066666667;2.933333333;3.733333333;Visual;6.5
ELEGANT;elegance;514;2875;6.242223265;['elegance_NN'];Positive;Evaluative;-2.483721692;10.46020886;1977.6918;0.735587189;0.919572954;2.18;538;4.24;6.26;2.166666667;1;1.611111111;1.222222222;0.944444444;4.333333333;Visual;6.91
ELEGANT;elegant;1442;11734;7.273786318;['elegant_JJ'];Positive;Evaluative;-3.024551827;8.971977961;5022.438354;0.701067616;0.964412811;2.31;509.4;4.43;5.95;1.5;0.8125;0.8125;0.9375;0.6875;3.9375;Visual;7
COFFEE;espresso;813;2000;6.70073111;['espresso_NN'];Source;Source;-1.298672743;9.798721868;3817.535497;0.799288256;0.952313167;4.41;;5.25;6.3;0.777777778;4;1.388888889;0.5;3.277777778;3.5;Gustatory;6.68
FIG;fig;853;26229;6.748759547;['fig_NN'];Source;Source;-4.942473253;9.729431479;1845.434209;0.553736655;0.914234875;4.97;;4.22;6.05;0.0625;3.9375;2.125;0.3125;1.5625;3.25;Gustatory;5.23
FIG;figgy;22;142;3.091042453;['figgy_JJ', 'figgy_NN'];Source;Source;-2.690315501;15.00640179;74.3895876;0.723487544;0.546263345;;;;;;;;;;;;
FINE;fine;1771;156101;7.479299638;['fine_JJ', 'fine_NN'];Positive;Evaluative;-6.461771757;8.675484913;1955.284739;0.413879004;0.91886121;2.61;321;3.86;5.78;1.315789474;0.578947368;1.105263158;2.368421053;0.526315789;2.315789474;Interoceptive;6.5
FIRM;firm;2517;93171;7.830822995;['firm_JJ', 'firm_NN'];Strong;Evaluative;-5.210103856;8.168343909;4969.722974;0.527758007;0.963345196;3.54;379.4;4.3;6.58;0.95;0.65;3.75;1.35;0;2.7;Haptic;5.36
FIRM;firmness;48;684;3.871201011;['firmness_NN'];Strong;Evaluative;-3.832890014;13.88087091;146.3753539;0.645907473;0.654092527;3.92;;;;0.684210526;1.210526316;4.263157895;1.368421053;0.368421053;2.052631579;Haptic;
FLESHY;fleshy;510;1176;6.234410726;['fleshy_JJ', 'fleshy_NN'];Abstract;Abstract;-1.205318908;10.47147997;2412.390695;0.805338078;0.927402135;3.56;;5.3;3.95;0.25;0.375;3.625;0.75;0.375;3.75;Visual;4.89
FLESHY;flesh;121;21707;4.795790546;['flesh_NN', 'flesh_JJ'];Source;Source;-7.487009495;12.54697017;48.5437288;0.331316726;0.478291815;4.59;625;4.11;5.29;1.038461538;1.269230769;4.038461538;2.076923077;1.384615385;3.961538462;Haptic;5.2
FLORAL;floral;2511;3887;7.828436359;['floral_JJ', 'floral_NN'];Category;Abstract;-0.630395079;8.171787097;12914.5943;0.833807829;0.983274021;3.75;;2.73;5.15;0.388888889;0.5;2.055555556;0.666666667;3.111111111;3.388888889;Visual;7.42
FLOWERY;flower;1583;47374;7.36707706;['flower_NN'];Category;Abstract;-4.90336233;8.83738787;3455.294804;0.555516014;0.948042705;5;400.2666667;3.67;6.43;0.277777778;1.166666667;3.333333333;1;4.388888889;4.277777778;Olfactory;7.3
FLOWERY;flowery;122;807;4.804021045;['flowery_NN'];Category;Abstract;-2.725687526;12.53509607;443.3953633;0.721352313;0.797153025;2.68;;3.81;5.57;0.235294118;0.411764706;1.411764706;0.058823529;3.588235294;4.058823529;Visual;7.47
FRAGRANT;fragrant;605;2859;6.405228458;['fragrant_JJ', 'fragrant_NN'];Effect;Evaluative;-2.240503572;10.22504208;2446.978007;0.750533808;0.928113879;3.35;348.5;4.85;6;0.066666667;0.333333333;0;0.533333333;4.933333333;0.333333333;Olfactory;7.05
FRESH;fresh;6438;73740;8.769973212;['fresh_JJ', 'fresh_NN'];Abstract;Abstract;-3.517762935;6.813436549;20247.24747;0.668683274;0.991459075;1.97;408.8;2.35;6.28;0.705882353;4.176470588;2.588235294;1.647058824;4;3.470588235;Gustatory;6.67
FRESH;fresher;55;315;4.007333185;['fresher_JJ'];Abstract;Abstract;-2.517848305;13.6844737;203.4683001;0.732740214;0.699288256;;;;;;;;;;;;
FRESH;freshness;904;1309;6.80682936;['freshness_NN'];Abstract;Abstract;-0.53407042;9.645654448;4723.951568;0.838790036;0.961209964;2.12;;4.1;6.29;1.157894737;2.578947368;1.947368421;1.052631579;3.368421053;2.947368421;Olfactory;7.43
FRUITY;fruit;21552;44779;9.978223899;['fruit_NN', 'fruit_JJ'];Category;Abstract;-1.055000555;5.070299275;104601.4181;0.812455516;0.999644128;4.81;;4.09;6.12;0.473684211;4.631578947;3.105263158;0.736842105;3.105263158;4.421052632;Gustatory;7
FRUITY;fruitier;68;2;4.219507705;['fruitier_NN'];Category;Abstract;5.087462841;13.37837057;637.7437156;0.986120996;0.834163701;;;;;;;;;;;;
FRUITY;fruitiness;189;46;5.241747015;['fruitiness_NN'];Category;Abstract;2.038680468;11.90359099;1336.497594;0.936298932;0.894661922;3.09;;;;0.388888889;4.277777778;1.388888889;0.833333333;3.166666667;2.555555556;Gustatory;
FRUITY;fruity;2068;1103;7.634337236;['fruity_NN'];Category;Abstract;0.906803395;8.45181294;12860.52126;0.901067616;0.982918149;2.69;;5.26;6;0.0625;4.25;0.4375;0.3125;2.875;1.75;Gustatory;6.71
FULL;full;3561;233601;8.177796683;['full_JJ'];Strong;Evaluative;-6.035620204;7.66776669;4990.661523;0.455516014;0.96405694;3.59;532.4;3.48;6.06;0.421052632;1.157894737;1.631578947;4.210526316;0.210526316;1.842105263;Interoceptive;6
FULL;fuller;33;4162;3.496507561;['fuller_JJ', 'fuller_NN'];Strong;Evaluative;-6.97866713;14.42143929;26.14571886;0.370462633;0.396797153;3.17;;;;0.3125;0.125;0.75;1.9375;0;2.1875;Visual;
FULL;fullish;14;4;2.63905733;['fullish_JJ'];Strong;Evaluative;1.807354922;15.65847849;82.04432343;0.931672598;0.561921708;;;;;;;;;;;;
FULL;fullness;59;1838;4.077537444;['fullness_NN', 'fullness_JJ'];Strong;Evaluative;-4.961278002;13.58319036;122.2859831;0.551957295;0.622775801;2.58;;3.2;6.27;0.421052632;1.421052632;1.473684211;4.052631579;0.578947368;1.736842105;Interoceptive;6.19
GENEROUS;generosity;30;4614;3.401197382;['generosity_NN'];Effect;Evaluative;-7.264911693;14.55894281;15.36110596;0.345907473;0.351601423;1.84;463;4.29;6.56;1.764705882;0.294117647;0.823529412;1.529411765;0.294117647;3.470588235;Visual;7.55
GENEROUS;generous;1031;15316;6.938284484;['generous_JJ'];Positive;Evaluative;-3.892923327;9.456004793;2969.586115;0.640213523;0.940569395;2.25;398.35;5.7;6.81;1.722222222;0.611111111;0.777777778;2.333333333;0.611111111;2.388888889;Visual;7.43
GOOSEBERRY;gooseberry;491;232;6.196444128;['gooseberry_NN'];Source;Source;1.081598219;10.5262542;3097.311692;0.909608541;0.942704626;4.7;;;;1;3.357142857;1.5;0.857142857;2.285714286;3.714285714;Visual;
GRAPE;grape;650;9803;6.476972363;['grape_NN'];Source;Source;-3.9147117;10.1215375;1860.273609;0.637366548;0.914590747;5;671.4;3.5;5.88;;;;;;;;6.7
GRAPE;grapey;92;15;4.521788577;['grapey_NN'];Source;Source;2.61667136;12.94227145;695.4122219;0.948398577;0.842704626;;;;;;;;;;;;
GRAPE;grapy;111;3;4.709530201;['grapy_NN', 'grapy_JJ'];Source;Source;5.209453366;12.67141754;1002.274827;0.988256228;0.878291815;;;;;;;;;;;;
GRAPEFRUIT;grapefruit;2413;1873;7.788626066;['grapefruit_NN', 'grapefruit_JJ'];Source;Source;0.365477016;8.22922121;14097.78793;0.877224199;0.984697509;4.96;;3.68;5.96;0.25;3.95;2.3;0.9;2.75;3.75;Gustatory;5.77
GRAPEFRUIT;grapefruity;60;7;4.094344562;['grapefruity_NN'];Source;Source;3.099535674;13.55894281;479.4273006;0.954448399;0.806761566;;;;;;;;;;;;
GRAPHITE;graphite;391;2398;5.96870756;['graphite_NN', 'graphite_JJ'];Source;Source;-2.616591146;10.85480861;1466.75609;0.727046263;0.901423488;4.58;;3.78;5.53;0.571428571;0;2.714285714;0.071428571;0.928571429;2.642857143;Haptic;5.05
GRASSY;grass;280;34320;5.634789603;['grass_NN'];Source;Source;-6.937478915;11.33655039;218.7107496;0.374733096;0.710320285;4.93;677.4;3.39;5.67;0.739728597;0.57544869;3.420298918;0.438246514;3.032830967;4.411669064;Visual;6.47
GRASSY;grassiness;24;7;3.17805383;['grassiness_NN'];Source;Source;1.777607579;14.88087091;177.2265993;0.930960854;0.679003559;3.15;;;;0.5;0.375;2.0625;0.1875;1.6875;3.5625;Visual;
GRASSY;grassy;506;2343;6.226536669;['grassy_NN', 'grassy_JJ'];Source;Source;-2.211147664;10.48283984;2042.01306;0.752669039;0.920996441;4.32;;3.09;5.68;0.625;0.625;3.0625;0.6875;2.625;4.125;Visual;6
GREEN;green;5098;141144;8.536603585;['green_JJ', 'green_NN'];Abstract;Abstract;-4.791092618;7.150117752;11533.93806;0.565480427;0.981850534;4.07;500.425;4.07;5.64;0.263157895;0.157894737;0.052631579;0.157894737;0.105263158;4.473684211;Visual;6.29
GREEN;greener;25;544;3.218875825;['greener_NN', 'greener_JJ'];Abstract;Abstract;-4.443606651;14.82197722;67.61314518;0.595729537;0.531672598;3.5;;;;0.470588235;0.411764706;0.529411765;0.294117647;0.705882353;4.294117647;Visual;
GREEN;greenness;23;181;3.135494216;['greenness_NN'];Abstract;Abstract;-2.976283931;14.94227145;73.94648455;0.704982206;0.54519573;2.96;;;;0.194444444;0.361111111;0.333333333;0.333333333;0.388888889;4.277777778;Visual;
HERBAL;herb;3867;13796;8.260234292;['herb_NN'];Category;Abstract;-1.834963364;7.548834361;16667.28803;0.774021352;0.988967972;4.57;639.4;3.26;5.05;0.470588235;4.235294118;2.529411765;0.411764706;3.705882353;4.176470588;Gustatory;6.72
HERBAL;herbaceous;296;353;5.690359454;['herbaceous_JJ'];Category;Abstract;-0.254071008;11.25638004;1611.630304;0.85088968;0.907117438;;;;;;;;;;;;
HERBAL;herbaceousness;43;6;3.761200116;['herbaceousness_NN'];Category;Abstract;2.841302254;14.03956866;309.7018899;0.951245552;0.754448399;;;;;;;;;;;;
HERBAL;herbal;4078;3405;8.313361951;['herbal_JJ', 'herbal_NN'];Category;Abstract;0.260206977;7.47218735;23496.61442;0.872953737;0.99252669;3.57;454.8;3.87;5.25;0.631578947;3.210526316;0.842105263;0.368421053;2.526315789;2.578947368;Gustatory;6.14
HONEYED;honey;2600;53854;7.863266724;['honey_NN'];Source;Source;-4.372469976;8.121537502;6644.203743;0.602135231;0.972241993;4.88;597;4.38;6.39;0.326078799;4.507004378;2.422013759;0.68699187;2.789681051;3.63902439;Gustatory;7.27
HONEYED;honeyed;654;177;6.483107351;['honeyed_JJ', 'honeyed_NN'];Source;Source;1.885541275;10.11268658;4493.076485;0.934163701;0.958718861;;;;;;;;;;;;
HONEYSUCKLE;honeysuckle;817;709;6.705639095;['honeysuckle_NN'];Source;Source;0.204550451;9.791641142;4689.632946;0.871530249;0.960854093;4.48;;;;0.3;2.95;1.6;0.3;3.95;3.85;Olfactory;
INTENSE;intense;2060;27720;7.630461262;['intense_JJ', 'intense_NN'];Strong;Evaluative;-3.750211015;8.457404788;6154.690165;0.651957295;0.971530249;2.41;317.1;6.6;5.57;3.277777778;2.666666667;2.166666667;3.722222222;2.833333333;3.388888889;Interoceptive;5.65
INTENSE;intensity;1054;18668;6.960347729;['intensity_NN'];Strong;Evaluative;-4.1466206;9.424174258;2850.967978;0.621708185;0.937366548;2.14;;7.05;5.34;2.2;0.65;0.9;2.15;0.55;2.5;Visual;5.19
JAMMY;jamminess;20;3;2.995732274;['jamminess_NN'];Category;Abstract;2.736965594;15.14390532;164.5904473;0.94911032;0.669039146;;;;;;;;;;;;
JAMMY;jammy;1653;80;7.410347098;['jammy_NN', 'jammy_JJ'];Category;Abstract;4.368942914;8.774962401;14253.82726;0.977935943;0.985409253;;;;;;;;;;;;
JUICY;juiciness;99;69;4.59511985;['juiciness_NN'];Category;Abstract;0.520832163;12.83647679;576.691901;0.884341637;0.82455516;3.44;;;;1;4.142857143;2.357142857;0.714285714;0.928571429;2.642857143;Gustatory;
JUICY;juicy;2834;4175;7.94944442;['juicy_JJ', 'juicy_NN'];Category;Abstract;-0.558936439;7.997209367;14717.44739;0.836654804;0.98683274;3.96;;4.7;5.48;1.473684211;4.210526316;2.894736842;1.578947368;1.947368421;3.421052632;Gustatory;7.05
KIWI;kiwi;376;1041;5.929589143;['kiwi_NN'];Source;Source;-1.469165502;10.91124456;1725.91627;0.790747331;0.910676157;4.86;599.28;3.65;5.5;0.5625;4.1875;2.8125;0.9375;2.875;4;Gustatory;6.11
KIWI;kiwi__#__fruit;48;55;3.871201011;['kiwi__#__fruit_COLL'];Source;Source;-0.196397213;13.88087091;247.7840199;0.852669039;0.723131673;;;;;;;;;;;;
LEAFY;leafy;526;2133;6.265301213;['leafy_JJ', 'leafy_NN'];Category;Abstract;-2.019749261;10.42691442;2192.562971;0.760854093;0.924199288;3.89;;3.57;5.88;0.941176471;1.058823529;2.235294118;0.705882353;0.764705882;3.823529412;Visual;5.95
LEAFY;leaf;324;14023;5.780743516;['leaf_NN'];Source;Source;-5.435657401;11.12598341;592.1964027;0.507117438;0.827046263;5;631.4;3.05;5.54;1.421052632;0.684210526;4;0;1;4.578947368;Visual;6.16
LEAFY;leafiness;30;8;3.401197382;['leafiness_NN'];Source;Source;1.906890596;14.55894281;193.3685551;0.934519573;0.690747331;;;;;;;;;;;;
LEAN;lean;967;11594;6.874198495;['lean_JJ', 'lean_NN'];Abstract;Abstract;-3.583718691;9.548461331;2991.711796;0.662989324;0.940925267;3;489;3.32;5.84;0.333333333;0.777777778;2;0.944444444;0.222222222;3.333333333;Visual;6.35
LEAN;leanness;12;70;2.48490665;['leanness_NN'];Abstract;Abstract;-2.544320516;15.88087091;53.48945549;0.731672598;0.49430605;2.97;;;;0.45;0.5;1.45;1.05;0.05;4;Visual;
LEATHER;leather;2303;20959;7.7419679;['leather_NN'];Source;Source;-3.185983568;8.296534714;7767.965359;0.690747331;0.976156584;4.82;591.2;3.57;5.32;0.75;0.1;4;0.15;3.2;4.65;Visual;5.84
LEATHER;leathery;574;785;6.352629396;['leathery_NN', 'leathery_JJ'];Source;Source;-0.451641917;10.30092648;3015.131927;0.84341637;0.941281139;3.4;;;;0.611111111;0.333333333;3.833333333;0.111111111;1.555555556;3.444444444;Haptic;
LEESY;leesy;231;2;5.442417711;['leesy_JJ', 'leesy_NN'];Abstract;Abstract;6.851749041;11.61408437;2366.379404;0.998220641;0.927046263;;;;;;;;;;;;
LEMON;lemon;2809;22124;7.940583827;['lemon_NN', 'lemon_JJ'];Source;Source;-2.977483718;8.009992501;9895.927438;0.704626335;0.979359431;5;665.5;4.52;5.43;0.2;4.45;2.65;0.75;2.95;3.85;Gustatory;6.37
LEMON;lemony;496;721;6.206575927;['lemony_JJ', 'lemony_NN'];Source;Source;-0.539659139;10.5116371;2594.679985;0.838078292;0.930960854;2.93;;;;0.15;4.3;0.55;0.85;3.2;1.7;Gustatory;
LICORICE;licorice;2404;824;7.784889296;['licorice_NN'];Source;Source;1.544720654;8.234612229;16011.8885;0.925266904;0.987900356;4.97;;4.14;5.52;0.235294118;4.411764706;1.823529412;0.588235294;2.470588235;2.882352941;Gustatory;4.58
LIGHT;light;3929;261559;8.27614022;['light_JJ', 'light_NN'];Abstract;Abstract;-6.056830435;7.525886958;5448.322938;0.454092527;0.966903915;4.21;469.975;3.52;5.89;0.2;0.05;0.6;0.4;0.05;4.6;Visual;6.55
LIGHT;lightly;27;104;3.295836866;['lightly_NN', 'lightly_JJ'];Abstract;Abstract;-1.945552216;14.71094591;105.8927488;0.764768683;0.6;2.6;;;;1.523809524;0.666666667;3.333333333;1.714285714;0.761904762;2.047619048;Haptic;
LIGHT;lightness;76;1035;4.33073334;['lightness_NN'];Abstract;Abstract;-3.767487539;13.2179059;231.8815683;0.65088968;0.715302491;2.6;;4.5;5.88;1.470588235;1.117647059;3.176470588;1.941176471;0.647058824;2.705882353;Haptic;6.37
LIKEABLE;likable;39;1680;3.663561646;['likable_JJ'];Positive;Evaluative;-5.428843299;14.18043119;67.38723265;0.507829181;0.530604982;1.93;;4.23;7.35;2.352941176;1.588235294;1.176470588;2.294117647;1.294117647;2.823529412;Visual;6.83
LIKEABLE;like;1268;45993;7.145196135;['like_JJ', 'like_NN'];Positive;Evaluative;-5.180787653;9.15749438;2531.383849;0.529537367;0.93024911;1.89;291.56;4.4;6.28;1.666666667;1.285714286;1.476190476;3.142857143;1.476190476;1.857142857;Interoceptive;7.44
LIKEABLE;likeable;83;774;4.418840608;['likeable_JJ'];Positive;Evaluative;-3.221150325;13.09079398;271.4741502;0.688256228;0.739145907;;;;;;;;;;;;
LIME;lime;3224;8368;8.078378104;['lime_NN'];Source;Source;-1.376031108;7.811197382;14937.90235;0.79430605;0.987188612;4.96;653.9;3.83;6.23;0.157894737;3.842105263;1.789473684;0.105263158;2.631578947;3.894736842;Visual;6.1
LIME;limey;18;176;2.890371758;['limey_JJ', 'limey_NN'];Source;Source;-3.289506617;15.29590841;52.86642796;0.684341637;0.491814947;;;3.55;5.37;;;;;;;;4.86
LIVELY;liveliness;34;258;3.526360525;['liveliness_NN'];Abstract;Abstract;-2.923764414;14.37837057;113.8452776;0.707829181;0.611032028;2.27;;;;2.454545455;0.424242424;0.696969697;2.787878788;0.484848485;3.090909091;Visual;
LIVELY;lively;1606;6383;7.381501895;['lively_JJ'];Abstract;Abstract;-1.990762755;8.816577233;6743.813319;0.761209964;0.972597865;2.36;452.9;6.1;6.86;2.777777778;0.833333333;0.888888889;2.444444444;1;3.777777778;Visual;7.12
LONG;long;4318;412624;8.370547611;['long_JJ', 'long_NN'];Abstract;Abstract;-6.578320683;7.389685882;4421.826377;0.402846975;0.958362989;3.18;384.675;;;1.529411765;0.294117647;1.941176471;0.823529412;0;3.823529412;Visual;
LUSCIOUS;luscious;399;1156;5.988961417;['luscious_JJ'];Effect;Evaluative;-1.534680746;10.82558847;1794.640228;0.787900356;0.912811388;1.93;439.4;5.75;5.59;1.333333333;2.666666667;2.166666667;2.5;1.916666667;3.833333333;Visual;6.91
LUSCIOUS;lusciously;12;2;2.48490665;['lusciously_JJ'];Effect;Evaluative;2.584962501;15.88087091;103.2643284;0.946975089;0.594661922;1.96;;;;1;1.916666667;1.833333333;1.5;1.083333333;2.75;Visual;
LUSH;lush;1255;4802;7.134890852;['lush_JJ', 'lush_NN'];Abstract;Abstract;-1.935948039;9.172361761;5315.685925;0.766192171;0.965836299;2.8;317.7;4.24;5.79;1.5;0.875;1.4375;0.5;1.375;3.5;Visual;6.48
